cadence,eyeMoveBigHorizontal,focus,numBlinks,sleepy
0,4.285715,2,24.64286,3
0,1.111111,2,18.88889,3
0,1.034483,2,15.51724,3
0,8.275862,2,13.44828,1
0,2.068965,2,20.68966,1
0,1.071429,2,24.64286,1
0,2.068965,2,18.62069,2
0,1.034483,2,8.275862,3
0,5.555555,2,7.777778,1
0,2.307692,1,15,1
0,3.333333,1,11.11111,1
0,1.111111,2,11.11111,1
0,0,2,4.067797,1
0,0,2,6.666667,2
0,0,2,7.5,2
0,0,2,13,2
0,0,2,12,1
0,1.034483,2,6.206897,1
0,1.276596,1,14.04255,1
0,2.105263,2,12.63158,1
0,2.068965,2,8.275862,1
0,4.210526,1,10.52632,1
0,6,2,6,1
0,2.142857,2,2.142857,1
0,3.6,2,8.4,1
0,5.263158,3,7.368421,1
0,0,2,4,1
0,1.071429,2,1.071429,3
0,0,2,4,3
0,0,3,10.71429,1
0,0,2,6,1
0,1.071429,3,10.71429,1
0,0,2,1,1
0,0,2,0,1
0,0,0,0,0
0,0,0,0,0
0,0,2,1,1
0,0,2,1,1
0,1,2,0,1
0,0,0,0,0
0,0,2,2,1
0,0,2,0,3
0,0,0,0,0
0,0,2,2,3
0,0,2,0,1
0,0,2,1,1
0,0,2,0,1
0,1,2,1,1
0,0,0,0,0
0,1,2,5,0
0,0,2,2,0
0,1.132076,2,4.528302,0
0,0,2,1,1
0,3.6,1,9.599999,1
0,0,3,5,1
0,0,2,6,1
0,0,2,2.142857,1
0,0,2,6,1
0,0,2,4.067797,1
0,0,2,5,1
0,0,2,4,1
0,1,2,2,2
0,0,2,1,1
0,1,3,5,1
0,0,3,0,1
0,0,0,0,0
0,0,2,3,1
0,1,3,6,1
0,0,3,0,1
0,0,2,1,3
0,1,2,3,3
0,0,2,1,1
0,2.033898,2,0,1
0,0,0,0,0
0,2,2,2,1
0,0,2,1,1
0,0,2,3,1
0,0,2,0,1
0,2.033898,3,10.16949,1
0,2.105263,2,11.57895,1
0,1.016949,2,10.16949,1
0,0,2,5,1
0,1,2,3,1
0,4,2,1,1
0,0,2,0,3
0,2.264151,2,2.264151,1
0,3.214286,2,4.285715,1
0,5,2,8.333334,1
0,0,0,0,0
0,1,0,0,0
0,1.071429,2,4.285715,1
0,0,2,5.172414,1
0,0,0,0,0
