cadence,eyeMoveRout,focus,blink,sleepy
0,18.94737,2,4.210526,1
0,24.21053,2,14.73684,1
0,15,2,13,1
0,21.08108,2,22.7027,3
0,28.5,1,25.5,2
0,22.75862,1,23.7931,1
0,30.52632,2,15.78947,1
0,31.52542,1,9.152542,1
0,11.78571,2,4.285715,1
0,5.769231,2,12.69231,1
0,11.57895,1,14.73684,1
0,3.67347,1,17.14286,1
0,0,1,21.25,1
0,2.44898,1,25.71429,1
0,2.857143,1,37.14286,2
0,6.545455,2,22.90909,3
0,17.14286,2,8.571429,3
0,3.157895,0,12.63158,0
0,31.2,2,16.8,2
0,30,2,15,2
0,0,0,12,0
0,0,0,10.90909,0
0,5.142857,0,6.857143,0
0,0,2,10.16949,1
0,0,1,15,2
0,0,2,5.882353,1
0,0,2,22.75862,2
0,0,2,2.105263,1
0,2.142857,2,2.142857,3
0,0,1,19.59184,3
0,2.181818,3,8.727272,3
0,0,1,13.22034,3
0,0,3,10,3
0,5.172414,1,11.37931,2
0,0,2,1,1
0,0,2,8,1
0,0,2,3,1
0,0,2,2.068965,1
0,0,2,4.528302,3
0,12,2,18,3
0,5.714286,1,11.42857,2
0,2.142857,2,4.285715,3
0,2,2,3,1
0,11.18644,2,4.067797,1
0,0,2,3,1
0,5.084746,2,8.135593,1
0,1.666667,2,35,3
0,0,2,33.68421,3
0,10.90909,2,16.36364,3
0,6.857143,0,15.42857,0
0,1.304348,1,18.26087,3
0,4.390244,1,10.2439,3
0,5.106383,2,7.659575,3
0,2.264151,1,10.18868,3
0,0,2,19.65517,1
0,2.608696,2,9.130434,1
0,4,1,12,1
0,9.599999,1,7.2,1
0,0,3,9.473684,1
0,1,1,12,1
0,0,1,13,2
0,0,3,8,2
0,0,3,5,2
0,0,2,3,3
0,0,2,6.101695,3
0,0,3,7,3
0,1.052632,1,20,3
0,0,1,17,3
0,0,2,8,3
0,0,1,9,1
0,0,2,21.35593,3
0,0,2,26,2
0,2.352941,2,4.705883,3
0,7.317073,1,13.17073,3
0,2.264151,3,5.660378,3
0,1.052632,2,3.157895,1
0,3.913043,1,18.26087,3
0,0,2,2,1
0,1,2,2,1
0,0,2,1,1
0,0,2,3,1
0,0,1,16,1
0,0,2,6,1
0,0,2,6.206897,1
0,0,3,6,1
0,0,3,0,1
0,0,3,8.888889,3
0,0,2,5.084746,3
0,0,3,11,3
0,5.714286,2,8.571429,3
0,0,2,20,3
0,9.599999,0,12,0
0,0,0,27.27273,0
0,6.666667,0,11.11111,0
0,3.75,0,26.25,0
0,2.4,2,30,3
113,3.243243,0,40.54054,0
0,3.333333,0,16.66667,0
117,2.608696,0,28.69565,0
106,15.65217,0,44.34783,0
96,6.521739,0,57.3913,0
91,7.5,0,49.5,0
92,12,0,26,0
93,3.243243,0,50.27027,0
106,18.62069,0,35.17242,0
116,8.888889,0,60,0
113,18.75,0,48.75,0
116,16,0,52,0
97,0,0,26.93878,0
118,10.18868,0,46.41509,0
113,13.04348,0,39.13044,0
117,26.89655,0,42.41379,0
117,20,0,41.17647,0
119,12.5,0,43.75,0
117,23.26531,0,35.5102,0
112,11,0,39,0
117,18.54545,0,48,0
115,18.30508,0,46.77966,0
115,18,0,34.5,0
114,12.55814,0,46.04651,0
114,12.85714,0,54.28571,0
114,16.59575,0,54.89362,0
112,13.92857,0,57.85714,0
100,24.61539,0,36.92308,0
106,19.56522,0,43.04348,0
110,4.528302,0,46.41509,0
107,4.363636,0,36,0
107,4.186047,0,40.46512,0
110,2.068965,0,16.55172,0
110,2.181818,0,26.18182,0
111,7.317073,0,40.97561,0
102,6.382979,0,29.3617,0
0,8.333334,0,11.66667,0
0,3.829787,1,22.97872,2
0,12.2449,1,33.06122,1
118,5.714286,0,34.28572,0
105,0,0,38.29787,0
109,16.66667,0,46.66667,0
105,1.090909,0,39.27272,0
87,3,0,31.5,0
0,0,1,32,2
0,0,1,32.30769,3
0,1.621622,0,32.43243,0
0,0,1,24,2
0,2.608696,1,18.26087,2
0,2.926829,1,32.19512,2
0,7.058824,1,21.17647,2
0,0,1,33.48837,2
0,2.666667,1,22.66667,2
0,0,1,0,2
0,0,2,8.75,1
0,0,2,1,1
0,0,2,3.157895,1
0,1.071429,2,3.214286,1
96,0,0,0,0
0,1.578947,0,14.21053,0
92,0,0,26.15385,0
0,2.307692,2,34.61538,1
0,0,2,39.27272,1
97,2.608696,0,31.30435,0
85,0,0,30.81081,0
91,3.076923,0,35.38462,0
102,3.333333,0,31.66667,0
110,7.5,0,33.75,0
110,3.636364,0,47.27273,0
102,4.285715,0,55.71428,0
107,0,0,8.780487,0
0,0,2,3.829787,1
0,0,2,33.33334,2
0,0,2,46.15385,2
0,0,0,60,0
0,1.621622,0,32.43243,0
0,0,1,11.32076,2
0,1.25,1,30,2
0,1,2,24,3
0,2,2,15,3
0,1,2,4,3
0,1.071429,2,15,3
0,1,3,19,3
0,1.111111,2,11.11111,3
0,1,3,8,3
0,1.090909,2,17.45454,3
0,0,2,9.642857,3
0,0,2,10,3
0,17.77778,2,24.44444,3
0,2.5,1,10,3
97,6.486486,0,27.56757,0
105,2.222222,0,31.11111,0
108,9.818181,0,45.81818,0
113,27,0,46,0
117,15.78947,0,53.68421,0
116,18.82353,0,45.88235,0
111,14.23729,0,33.55932,0
110,22.10526,0,35.78947,0
116,12.85714,0,34.28572,0
108,20.37736,0,40.75472,0
107,7.2,0,28.8,0
0,9.230769,2,19.61539,3
0,6,1,30,1
95,3.157895,0,26.31579,0
0,2.033898,1,14.23729,2
0,0,1,10.90909,1
0,1.25,1,13.75,1
0,0,1,15,1
0,0,2,24,2
0,0,2,22,2
0,0,2,7,3
0,2,3,10,2
0,0,3,9,3
0,0,2,6,3
0,0,2,14,3
0,0,3,9,3
0,1,2,18,1
0,2,2,28,1
0,0,3,15,2
0,3,2,39,3
0,1.2,2,4.8,3
106,2,0,12,0
0,0,1,19.59184,3
0,0,1,16.95652,1
0,1.034483,2,25.86207,2
100,0,0,32.30769,0
99,5.217391,0,20.86957,0
95,25,0,35,0
99,5.142857,0,27.42857,0
0,8.571429,0,34.28572,0
0,1.463415,1,35.12195,2
0,5.581395,1,19.53488,2
104,20,0,25.71429,0
0,6,0,22,0
0,2,0,48,0
0,0,0,31.42857,0
0,0,0,37.5,0
92,6.206897,0,16.55172,0
113,4.615385,0,36.92308,0
0,2.608696,0,28.69565,0
0,0,0,36.52174,0
0,1.666667,0,41.66666,0
95,4,0,30.66667,0
0,12,0,33,0
0,7.692308,0,27.69231,0
93,6,0,30,0
0,0,0,22.5,0
0,4.285715,0,25.71429,0
98,5.454545,0,38.18182,0
90,0,0,23.33333,0
0,0,1,17.87234,1
0,0,1,25.16129,1
102,3,0,36,0
116,6,0,52,0
0,7.346939,1,35.5102,2
0,9.130434,1,26.08696,2
0,13.33333,1,13.33333,2
94,15,0,18.75,0
0,0,1,28.5,3
0,3,1,54,2
0,0,0,55.86207,0
0,0,0,62.6087,0
0,0,0,54.54546,0
0,0,0,31.11111,0
0,2.222222,0,22.22222,0
92,10,0,21.42857,0
0,11.53846,0,41.53846,0
0,27.27273,0,32.72727,0
94,5,0,52.5,0
0,9.767442,1,39.06977,2
0,10.90909,1,32.72727,2
0,7.826087,0,44.34783,0
0,0,0,30,0
0,15,0,37.5,0
0,31.30435,0,33.91304,0
0,12,0,25.71429,0
101,6.206897,0,26.89655,0
95,3.157895,0,44.21053,0
89,4.285715,0,38.57143,0
99,0,0,17.14286,0
100,0,0,28.57143,0
0,13.17073,1,38.04878,2
0,5.581395,1,51.62791,2
0,0,2,31.57895,2
0,0,2,36.42857,1
0,6,2,58.8,1
0,3.636364,2,30.90909,1
94,2.608696,0,45.65217,0
90,1.071429,1,24.64286,1
0,3.6,1,21.6,2
0,10,1,30,2
93,15.78947,0,15.78947,0
97,9.473684,0,22.10526,0
109,0,0,28.57143,0
91,15.78947,0,22.10526,0
97,0,0,42.85714,0
0,4.8,2,21.6,3
0,1.304348,1,22.17391,2
0,1.714286,1,18.85714,2
107,0,0,49.09091,0
94,6.666667,0,20,0
0,20.86957,0,31.30435,0
100,3.913043,0,31.30435,0
100,5.357143,0,41.78572,0
92,3.214286,0,47.14286,0
101,3.529412,0,74.11765,0
107,9.333334,0,44,0
101,10.90909,0,27.27273,0
0,0,0,56.84211,0
0,0,0,54,0
0,18,0,66,0
106,10.2439,0,55.60976,0
114,7.659575,0,44.68085,0
114,8.135593,0,45.76271,0
114,3.333333,0,45.55556,0
116,8.421053,0,49.47369,0
112,3.272727,0,27.27273,0
113,10.71429,0,36.42857,0
113,23.7931,0,44.48276,0
